t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,780,4,0,16,0,2,7,8,2,1,1,1,297,11,13,0,2,1,1,0,0,0,0,0
10000,745,14,0,41,0,4,7,8,2,1,3,2,295,38,50,0,2,2,3,0,0,0,0,0
15000,692,32,1,75,0,7,7.571,9,5,2.128,6,3,293,74,104,0,3,5,5,0,0,0,0,0
20000,636,45,0,119,0,10,7.6,9,9,3.122,9,3,296,125,164,2,7,11,13,0,0,0,0,0
25000,541,73,2,184,0,17,7.941,10,13,3.572,16,4,294,199,265,4,10,20,22,0,0,0,0,0
30000,379,121,3,297,0,29,7.655,10,18,3.952,30,4,291,335,449,7,11,38,45,0,0,0,0,0
35000,252,150,9,389,0,37,7.541,18,25,4.443,38,5,290,466,612,12,16,60,85,0,0,0,0,0
40000,147,174,3,476,2,46,7.063,18,28,4.374,49,5,280,602,763,14,19,75,134,0,0,0,0,0
45000,71,193,1,535,1,58,6.576,18,36,4.781,62,6,293,719,899,19,19,97,194,0,0,0,0,0
50000,38,201,1,560,2,64,6.182,18,36,4.714,72,7,288,795,984,22,19,113,244,0,0,0,0,0
55000,24,207,1,568,4,62,6.076,18,33,4.547,75,7,294,851,1052,23,19,123,292,0,0,0,0,0
60000,25,222,1,552,4,62,6.045,18,37,4.616,81,7,300,899,1117,25,20,150,355,0,0,0,0,2
65000,32,222,0,546,1,64,6,17,34,4.497,84,7,298,939,1158,26,20,170,399,0,0,0,0,2
70000,18,219,3,560,3,62,6.108,17,38,4.86,92,8,297,995,1218,29,21,185,441,0,0,0,0,2
75000,17,221,0,562,5,60,6,17,38,4.849,95,8,300,1042,1266,30,22,197,485,0,0,0,0,2
80000,14,218,0,568,2,62,6.078,17,40,4.917,99,8,298,1092,1313,32,23,209,527,0,0,0,0,2
85000,21,216,0,563,2,62,5.984,17,39,4.743,101,8,291,1133,1354,33,23,216,570,0,0,0,0,2
90000,18,212,0,570,1,64,6.031,17,42,4.916,105,8,299,1179,1398,34,25,228,609,0,0,0,0,2
95000,16,229,0,555,1,63,5.984,17,40,4.837,106,8,299,1203,1440,34,25,239,648,0,0,0,0,2
100000,19,222,1,558,7,57,5.969,20,41,4.853,113,9,290,1245,1478,34,25,253,683,0,0,0,0,2
