t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,609,43,14,134,31,43,2,2,3,1.101,78,4,263,146,186,5,1,0,8,0,12,0,0
10000,207,150,18,425,74,140,2.065,4,8,1.531,336,9,246,651,845,12,24,0,130,0,13,0,0
15000,106,174,18,502,88,163,2.068,3,8,1.468,518,10,267,1009,1299,18,34,0,278,0,13,0,0
20000,109,178,15,498,77,167,2.086,3,7,1.589,676,12,267,1328,1704,28,41,0,448,0,13,0,0
25000,108,177,9,506,79,167,2.081,3,8,1.624,824,12,279,1635,2077,34,45,0,606,0,13,0,0
30000,99,184,13,504,73,171,2.094,3,9,1.674,963,13,268,1918,2449,43,53,0,757,0,13,0,0
35000,106,183,7,504,68,168,2.14,4,11,1.895,1091,13,274,2193,2790,54,61,0,902,0,13,0,0
40000,90,191,9,510,69,170,2.146,4,11,1.756,1232,13,271,2483,3146,63,68,0,1051,0,14,0,0
45000,92,182,7,519,80,160,2.179,5,11,1.791,1366,13,266,2760,3479,65,72,0,1196,0,14,0,0
50000,100,207,4,489,40,180,2.2,5,11,1.873,1477,13,281,2992,3807,72,79,0,1336,0,14,0,0
55000,83,191,6,520,72,166,2.189,4,10,1.888,1609,13,277,3264,4122,82,85,0,1468,0,16,0,0
60000,100,187,7,506,67,162,2.218,4,13,1.97,1738,16,273,3530,4452,89,93,0,1622,0,16,0,0
65000,74,191,7,528,74,164,2.223,4,12,2.046,1874,17,274,3817,4800,95,100,0,1770,0,16,0,0
70000,92,201,8,499,53,170,2.229,4,12,2.127,1981,17,270,4049,5104,100,107,0,1912,0,16,0,0
75000,86,193,9,512,69,162,2.229,4,11,2.221,2105,17,274,4308,5414,101,107,0,2044,0,16,0,0
80000,100,203,4,493,48,169,2.249,4,12,2.374,2212,19,285,4542,5712,108,115,0,2183,0,16,0,0
85000,79,192,8,521,69,157,2.292,5,14,2.541,2338,19,276,4823,6030,122,132,0,2320,0,16,0,0
90000,103,199,12,486,50,158,2.351,4,15,2.763,2443,19,282,5048,6329,125,140,0,2461,0,16,0,0
95000,89,210,2,499,43,163,2.359,4,14,2.716,2539,19,288,5274,6606,132,144,0,2581,0,16,0,0
100000,88,206,8,498,47,163,2.338,4,14,2.729,2634,19,278,5483,6860,136,149,0,2704,0,18,0,0
