t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,382,20,4,394,96,18,3.307,6,23,3.658,128,6,282,419,5974,91,23,0,28,5587,17,0,0,0,0,0,0,0,0,0,0,0
20000,134,36,1,629,141,28,3.497,7,30,4.283,228,8,293,803,15600,208,49,0,136,14845,19,0,0,0,0,0,0,0,0,0,0,0
30000,110,26,1,663,154,25,3.492,7,33,4.339,276,8,296,978,21851,288,66,0,246,20947,20,0,0,0,0,0,0,0,0,0,0,0
40000,117,23,1,659,156,23,3.48,7,33,4.323,319,8,292,1132,28182,372,82,0,366,27145,21,0,0,0,0,0,0,0,0,0,0,0
50000,105,19,1,675,169,18,3.487,7,34,4.416,356,8,289,1272,35153,469,105,0,463,34002,21,0,0,0,0,0,0,0,0,0,0,0
60000,102,24,1,673,169,24,3.352,7,30,4.305,393,8,296,1404,41558,556,118,0,568,40287,23,0,0,0,0,0,0,0,0,0,0,0
70000,132,17,1,650,181,17,3.227,8,31,4.069,440,8,289,1554,48532,641,140,0,706,47138,23,0,0,0,0,0,0,0,0,0,0,0
80000,125,21,1,653,183,20,3.103,8,32,4.073,493,9,290,1735,56116,737,164,0,844,54558,23,0,0,0,0,0,0,0,0,0,0,0
90000,141,20,1,638,187,16,3.069,7,31,4.091,547,9,293,1899,64404,838,189,0,974,62711,25,0,0,0,0,0,0,0,0,0,0,0
100000,117,22,2,659,183,20,3.167,7,33,4.12,602,9,290,2086,71723,951,210,0,1092,69865,27,0,0,0,0,0,0,0,0,0,0,0
