t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,264,78,160,138,3,22,8.88,10,4,1.459,33,2,0,75,424,96,0,0,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,238,88,163,151,2,22,9.667,10,3,1.043,57,2,3,131,603,149,0,0,95,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,152,113,175,200,1,26,9.667,10,4,1.191,76,3,1,197,801,208,0,0,134,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,175,116,145,204,3,23,9.269,10,6,1.581,98,3,1,263,945,248,0,0,202,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,134,125,152,229,2,26,9.536,10,4,1.335,118,3,0,320,1114,292,0,0,251,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,127,119,133,261,4,27,8.581,10,10,2.435,134,3,1,395,1248,340,0,0,299,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,154,120,136,230,0,21,10,10,2,0.998,166,4,1,466,1474,400,0,0,402,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,159,120,125,236,2,22,9.125,10,6,1.817,192,4,1,529,1632,451,0,0,466,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,147,116,150,227,1,25,9.346,10,5,1.573,216,4,2,582,1785,497,0,0,527,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,162,113,155,210,4,25,8.414,10,6,1.89,251,5,1,646,1970,554,0,0,612,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
