t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,655,9,4,132,29,7,3.389,7,11,3.004,55,5,287,185,3323,26,10,0,28,45,3181,24,0,0,0,0,0,0,0,0,0,0,0
20000,566,14,1,219,55,10,3.262,9,17,3.457,163,6,284,548,11190,141,38,0,118,231,10748,44,0,0,0,0,0,0,0,0,0,0,0
30000,529,20,3,248,52,13,3.508,8,26,4.176,260,8,283,911,20630,276,71,0,235,448,19872,59,0,0,0,0,0,0,0,0,0,0,0
40000,573,11,4,212,47,10,3.509,8,20,3.775,363,9,289,1261,30461,399,86,0,368,699,29390,67,0,0,0,0,0,0,0,0,0,0,0
50000,559,16,0,225,45,13,3.621,7,20,3.932,455,9,283,1607,39568,524,107,0,483,918,38188,78,0,0,0,0,0,0,0,0,0,0,0
60000,491,17,6,286,54,15,3.884,8,26,4.18,548,13,275,2000,49464,644,137,0,591,1145,47736,91,0,0,0,0,0,0,0,0,0,0,0
70000,524,20,1,255,38,20,4,9,26,4.216,656,13,278,2430,59512,789,167,0,738,1464,57409,106,0,0,0,0,0,0,0,0,0,0,0
80000,491,12,1,296,62,11,3.849,9,30,4.343,756,15,287,2806,69658,908,191,0,855,1682,67221,113,0,0,0,0,0,0,0,0,0,0,0
90000,577,16,0,207,36,15,3.725,8,22,4.03,850,16,289,3170,79459,1035,221,0,991,1998,76710,127,0,0,0,0,0,0,0,0,0,0,0
100000,616,8,1,175,43,8,3.216,6,17,3.745,944,17,281,3501,88218,1159,242,0,1111,2245,85188,141,0,0,0,0,0,0,0,0,0,0,0
110000,615,9,3,173,48,9,2.895,7,17,3.436,1042,20,281,3807,95949,1279,256,0,1214,2451,92652,157,0,0,0,0,0,0,0,0,0,0,0
120000,592,9,3,196,57,9,2.939,6,17,3.48,1155,23,280,4153,104488,1377,281,0,1338,2654,100891,171,0,0,0,0,0,0,0,0,0,0,0
130000,584,10,1,205,53,10,2.968,6,18,3.696,1272,23,275,4523,113935,1507,309,0,1478,2876,110023,186,0,0,0,0,0,0,0,0,0,0,0
140000,564,11,2,223,58,9,3.209,6,19,3.726,1394,25,287,4896,124325,1646,337,0,1614,3095,120083,200,0,0,0,0,0,0,0,0,0,0,0
150000,599,11,3,187,47,11,3.103,7,15,3.098,1506,26,286,5268,133536,1767,357,0,1759,3364,128954,212,0,0,0,0,0,0,0,0,0,0,0
