t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,73,37,2,688,199,35,2.778,9,28,3.433,328,9,236,918,13879,199,63,0,109,135,13006,15,0,0,0,0,0,0,0,0,0,0,0
20000,64,36,2,698,189,28,2.986,9,35,3.807,428,10,235,1269,24061,334,92,0,244,341,22868,16,0,0,0,0,0,0,0,0,0,0,0
30000,61,31,1,706,178,27,3.166,9,35,4.066,519,10,232,1616,33265,452,121,0,369,551,31757,17,0,0,0,0,0,0,0,0,0,0,0
40000,50,37,1,712,149,35,3.505,10,34,4.378,597,10,234,1951,42602,595,153,0,486,759,40782,17,0,0,0,0,0,0,0,0,0,0,0
50000,78,41,2,679,131,34,3.697,9,40,4.6,674,12,234,2269,51383,725,174,0,607,988,49265,19,0,0,0,0,0,0,0,0,0,0,0
60000,69,34,0,697,130,31,3.95,9,42,4.748,750,12,240,2594,59944,838,194,0,711,1191,57530,20,0,0,0,0,0,0,0,0,0,0,0
70000,57,53,0,690,109,40,4.148,8,47,5.096,828,12,234,2970,69014,974,221,0,831,1451,66228,20,0,0,0,0,0,0,0,0,0,0,0
80000,38,49,1,712,112,40,4.316,8,47,5.189,908,13,233,3362,77878,1099,247,0,934,1717,74726,20,0,0,0,0,0,0,0,0,0,0,0
90000,68,48,1,683,102,41,4.238,8,48,5.128,971,14,230,3665,85411,1182,261,0,1029,1951,81969,20,0,0,0,0,0,0,0,0,0,0,0
100000,54,45,0,701,117,37,4.253,10,47,5.113,1052,16,241,4036,94500,1302,283,0,1131,2198,90712,21,0,0,0,0,0,0,0,0,0,0,0
110000,71,47,1,681,114,36,4.08,8,44,4.972,1133,16,233,4401,102390,1392,299,0,1244,2469,98247,21,0,0,0,0,0,0,0,0,0,0,0
120000,43,45,1,711,119,39,4.038,8,43,4.955,1207,16,236,4755,110949,1511,317,0,1343,2690,106467,21,0,0,0,0,0,0,0,0,0,0,0
130000,56,38,0,706,120,31,4.272,9,46,5.081,1276,16,236,5069,118422,1636,337,0,1440,2912,113654,22,0,0,0,0,0,0,0,0,0,0,0
140000,69,41,3,687,113,32,4.379,8,47,5.176,1339,17,236,5361,125660,1734,354,0,1534,3126,120609,22,0,0,0,0,0,0,0,0,0,0,0
150000,61,38,0,701,114,33,4.354,9,51,5.17,1411,17,236,5702,133557,1847,379,0,1625,3364,128191,23,0,0,0,0,0,0,0,0,0,0,0
