t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,43,209,2,546,66,169,2.204,6,13,1.554,403,9,273,895,1160,27,19,0,195,98,0,10,0,0,0,0,0,0,0,0,0,0,0
20000,57,192,5,546,68,154,2.369,6,15,1.983,678,11,263,1487,1865,43,29,0,487,247,0,10,0,0,0,0,0,0,0,0,0,0,0
30000,38,197,5,560,77,150,2.352,7,16,2.2,930,12,276,2061,2544,63,44,0,774,411,0,10,0,0,0,0,0,0,0,0,0,0,0
40000,40,202,9,549,68,153,2.317,6,15,2.189,1186,13,268,2625,3223,74,58,0,1064,589,0,10,0,0,0,0,0,0,0,0,0,0,0
50000,40,201,3,556,72,152,2.344,7,19,2.116,1460,13,270,3240,3951,88,72,0,1370,757,0,10,0,0,0,0,0,0,0,0,0,0,0
60000,55,195,2,548,76,142,2.317,6,16,2.138,1700,15,276,3765,4576,102,82,0,1648,912,0,10,0,0,0,0,0,0,0,0,0,0,0
70000,35,211,4,550,58,161,2.301,5,17,2.243,1940,16,281,4321,5252,123,90,0,1936,1074,0,11,0,0,0,0,0,0,0,0,0,0,0
80000,54,214,1,531,55,163,2.257,5,15,1.935,2177,17,278,4843,5890,135,98,0,2211,1229,0,11,0,0,0,0,0,0,0,0,0,0,0
90000,47,201,9,543,71,159,2.291,7,14,2.079,2442,19,263,5422,6574,143,113,0,2499,1383,0,11,0,0,0,0,0,0,0,0,0,0,0
100000,51,204,4,541,68,164,2.259,6,17,2.137,2729,19,255,6051,7333,158,125,0,2816,1570,0,11,0,0,0,0,0,0,0,0,0,0,0
110000,72,202,3,523,55,162,2.309,6,17,2.31,2998,19,265,6659,8042,174,143,0,3129,1764,0,11,0,0,0,0,0,0,0,0,0,0,0
120000,30,207,2,561,76,163,2.272,6,15,2.222,3281,21,277,7271,8780,188,152,0,3425,1932,0,11,0,0,0,0,0,0,0,0,0,0,0
130000,31,199,10,560,79,158,2.274,6,13,2.272,3551,25,274,7878,9512,204,164,0,3731,2092,0,11,0,0,0,0,0,0,0,0,0,0,0
140000,41,195,7,557,82,158,2.267,6,13,2.32,3848,25,263,8521,10275,223,175,0,4065,2268,0,11,0,0,0,0,0,0,0,0,0,0,0
150000,42,199,2,557,70,161,2.312,6,16,2.398,4112,26,270,9119,10974,239,184,0,4357,2459,0,11,0,0,0,0,0,0,0,0,0,0,0
