t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
20000,150,0,2,48,17,0,2.941,6,6,2.469,25,4,36,78,1179,5,0,9,8,13,0,1097,1,0,0,0,0,1,0,0,0,0,0,0,3,16,0,0,0,25
40000,174,1,4,21,11,1,2.083,3,3,1.041,58,6,40,153,3318,12,0,63,31,43,0,3146,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,64
60000,177,1,2,20,10,1,2,2,1,0,82,7,38,196,4681,14,1,63,35,48,0,4462,2,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,87
80000,172,2,2,24,10,2,2.167,3,3,1.041,104,11,38,241,5832,16,2,63,44,57,0,5568,3,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,100
100000,160,0,4,36,19,0,2.105,3,3,1.087,142,13,38,316,7695,23,4,63,58,72,0,7352,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,124
120000,188,0,0,12,6,0,2,2,1,0,162,13,39,354,9177,25,6,63,73,86,0,8795,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,146
140000,200,0,0,0,0,0,0,0,0,0,171,13,40,370,9649,26,6,63,78,91,0,9249,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,156
160000,200,0,0,0,0,0,0,0,0,0,171,13,40,370,9649,26,6,63,78,91,0,9249,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,156
180000,200,0,0,0,0,0,0,0,0,0,171,13,40,370,9649,26,6,63,78,91,0,9249,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,156
200000,200,0,0,0,0,0,0,0,0,0,171,13,40,370,9649,26,6,63,78,91,0,9249,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,156
220000,200,0,0,0,0,0,0,0,0,0,171,13,40,370,9649,26,6,63,78,91,0,9249,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,156
240000,200,0,0,0,0,0,0,0,0,0,171,13,40,370,9649,26,6,63,78,91,0,9249,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,156
260000,200,0,0,0,0,0,0,0,0,0,172,13,40,372,9671,26,6,63,78,91,0,9270,5,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,157
280000,200,0,0,0,0,0,0,0,0,0,172,13,40,372,9671,26,6,63,78,91,0,9270,5,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,157
300000,198,0,0,2,1,0,2,2,1,0,173,13,40,374,9694,26,6,63,78,91,0,9293,6,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,157
320000,198,0,0,2,1,0,2,2,1,0,181,13,40,387,10021,26,6,63,80,93,0,9606,7,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,163
340000,200,0,0,0,0,0,0,0,0,0,183,13,40,391,10107,26,6,63,82,95,0,9688,7,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,164
360000,200,0,0,0,0,0,0,0,0,0,183,13,40,391,10107,26,6,63,82,95,0,9688,7,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,164
380000,200,0,0,0,0,0,0,0,0,0,185,13,40,395,10147,26,6,63,83,96,0,9726,8,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,165
400000,200,0,0,0,0,0,0,0,0,0,185,13,40,395,10147,26,6,63,83,96,0,9726,8,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,165
420000,200,0,0,0,0,0,0,0,0,0,185,13,40,395,10147,26,6,63,83,96,0,9726,8,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,165
440000,200,0,0,0,0,0,0,0,0,0,185,13,40,395,10147,26,6,63,83,96,0,9726,8,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,165
460000,200,0,0,0,0,0,0,0,0,0,185,13,40,395,10147,26,6,63,83,96,0,9726,8,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,165
480000,200,0,0,0,0,0,0,0,0,0,186,13,40,397,10161,26,6,63,83,96,0,9740,9,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,166
500000,200,0,0,0,0,0,0,0,0,0,186,13,40,397,10161,26,6,63,83,96,0,9740,9,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,166
520000,200,0,0,0,0,0,0,0,0,0,186,13,40,397,10161,26,6,63,83,96,0,9740,9,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,166
540000,200,0,0,0,0,0,0,0,0,0,187,13,40,399,10194,26,6,63,83,96,0,9773,10,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,167
560000,200,0,0,0,0,0,0,0,0,0,187,13,40,399,10194,26,6,63,83,96,0,9773,10,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,167
580000,198,0,0,2,1,0,2,2,1,0,188,13,38,401,10198,26,6,63,83,96,0,9777,11,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,167
600000,198,0,0,2,1,0,2,2,1,0,191,13,40,406,10297,26,6,63,83,96,0,9872,12,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,170
620000,200,0,0,0,0,0,0,0,0,0,192,13,40,408,10359,26,6,63,85,98,0,9934,13,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,170
640000,190,0,0,10,5,0,2,2,1,0,201,13,40,425,10579,27,6,63,87,100,0,10140,15,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,172
660000,196,0,2,2,2,0,2,2,1,0,211,13,40,441,10990,27,6,63,93,106,0,10531,15,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,179
680000,200,0,0,0,0,0,0,0,0,0,211,13,40,442,11070,28,6,63,94,107,0,10611,15,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,180
700000,200,0,0,0,0,0,0,0,0,0,213,13,40,446,11129,28,6,63,94,107,0,10668,16,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,182
720000,200,0,0,0,0,0,0,0,0,0,214,13,40,448,11135,28,6,63,95,108,0,10674,17,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,182
740000,194,0,0,6,3,0,2,2,1,0,218,13,40,455,11193,28,6,63,96,109,0,10728,19,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,182
760000,198,0,0,2,1,0,2,2,1,0,223,13,40,462,11418,30,6,63,97,110,0,10946,21,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,188
780000,194,0,1,5,3,0,2,2,1,0,229,13,40,472,11718,30,6,63,97,110,0,11236,22,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,192
800000,200,0,0,0,0,0,0,0,0,0,234,13,40,483,11934,30,6,63,98,110,0,11441,22,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,199
820000,200,0,0,0,0,0,0,0,0,0,234,13,40,483,11934,30,6,63,98,110,0,11441,22,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,199
840000,186,2,3,9,2,2,2.5,3,3,1.5,239,13,39,495,12140,33,7,63,99,111,0,11635,24,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,200
860000,177,0,7,16,10,0,2.3,3,3,1.295,258,13,37,529,12861,36,8,63,105,116,0,12315,26,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,215
880000,185,0,1,14,7,0,2.143,3,2,0.592,278,13,38,578,13938,40,10,63,114,125,0,13349,26,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,235
900000,200,0,0,0,0,0,0,0,0,0,284,14,40,590,14281,43,10,63,122,134,0,13680,27,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,241
920000,200,0,0,0,0,0,0,0,0,0,284,14,40,590,14281,43,10,63,122,134,0,13680,27,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,241
940000,200,0,0,0,0,0,0,0,0,0,284,14,40,590,14281,43,10,63,122,134,0,13680,27,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,241
960000,200,0,0,0,0,0,0,0,0,0,285,14,40,592,14320,43,10,63,122,134,0,13719,28,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,242
980000,200,0,0,0,0,0,0,0,0,0,285,14,40,592,14320,43,10,63,122,134,0,13719,28,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,242
1000000,200,0,0,0,0,0,0,0,0,0,285,14,40,592,14320,43,10,63,122,134,0,13719,28,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,242
