t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,391,20,165,224,98,18,3.121,8,21,3.014,144,5,17,275,5875,74,36,0,36,78,5452,23,0,0,0,0,0,0,0,0,0,0,0
20000,242,19,309,230,150,17,3.054,9,30,3.571,274,6,3,405,13787,175,87,0,130,235,13032,32,0,0,0,0,0,0,0,0,0,0,0
30000,196,29,329,246,145,26,3.164,7,34,4.091,355,6,5,530,20592,259,144,0,216,390,19609,35,0,0,0,0,0,0,0,0,0,0,0
40000,227,35,281,257,133,31,3.116,8,31,4.001,435,7,2,661,27414,345,187,0,323,588,26205,42,0,0,0,0,0,0,0,0,0,0,0
50000,231,26,282,261,150,23,2.983,7,27,3.875,528,7,4,772,35317,432,231,0,426,775,33879,50,0,0,0,0,0,0,0,0,0,0,0
60000,235,36,257,272,125,30,3.148,8,28,4.026,594,7,2,894,42605,528,289,0,517,943,40969,53,0,0,0,0,0,0,0,0,0,0,0
70000,237,32,263,268,130,24,3.247,8,28,4.1,682,8,3,1016,49896,626,333,0,619,1110,48039,56,0,0,0,0,0,0,0,0,0,0,0
80000,201,33,267,299,128,28,3.372,8,32,4.259,749,8,2,1162,57042,727,372,0,697,1236,54987,60,0,0,0,0,0,0,0,0,0,0,0
90000,232,28,286,253,124,25,3.349,8,35,4.216,837,8,2,1272,64092,804,413,0,804,1451,61791,63,0,0,0,0,0,0,0,0,0,0,0
100000,250,31,259,260,117,28,3.29,8,36,4.202,918,9,0,1402,72103,914,454,0,902,1654,69572,70,0,0,0,0,0,0,0,0,0,0,0
110000,213,29,281,277,126,25,3.49,8,40,4.425,1009,9,4,1523,79319,1022,499,0,994,1825,76531,73,0,0,0,0,0,0,0,0,0,0,0
120000,201,33,302,263,122,27,3.49,7,37,4.366,1082,9,3,1649,86046,1112,533,0,1092,2002,83008,75,0,0,0,0,0,0,0,0,0,0,0
130000,243,36,266,255,105,30,3.452,7,35,4.264,1149,10,9,1769,92681,1209,575,0,1194,2211,89421,80,0,0,0,0,0,0,0,0,0,0,0
140000,194,42,287,277,117,33,3.44,8,36,4.155,1221,11,3,1902,99335,1296,612,0,1272,2341,95863,85,0,0,0,0,0,0,0,0,0,0,0
150000,226,36,253,285,109,30,3.612,12,38,4.417,1289,11,1,2048,106361,1374,647,0,1369,2525,102684,90,0,0,0,0,0,0,0,0,0,0,0
