t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,760,11,1,28,0,2,12,12,1,0,1,1,300,17,29,0,0,1,1,0,0,0,0,0
10000,723,21,3,53,0,2,12,12,1,0,1,1,298,46,70,2,0,2,5,0,0,0,0,0
15000,694,30,1,75,0,3,12.333,13,3,1.585,3,2,299,74,106,2,1,7,12,0,0,0,0,0
20000,629,48,1,122,0,5,13.8,23,4,1.922,6,3,297,133,183,4,1,11,24,0,0,0,0,0
25000,558,66,5,171,0,7,14.857,24,6,2.522,8,3,297,193,265,5,1,16,35,0,0,0,0,0
30000,475,91,3,231,0,9,13.778,24,8,2.948,10,3,291,266,361,9,2,23,49,0,0,0,0,0
35000,398,103,2,297,0,11,13.091,24,10,3.278,12,3,292,353,459,12,2,34,70,0,0,0,0,0
40000,263,147,4,386,1,16,12.412,24,16,3.97,18,4,294,457,608,16,3,43,85,0,0,0,0,0
45000,175,170,2,453,0,18,13.778,35,13,3.614,21,4,291,554,726,19,4,56,114,0,0,0,0,0
50000,105,176,0,519,0,19,13.632,34,14,3.682,23,4,288,649,824,22,5,71,143,0,0,0,0,0
55000,63,188,0,549,0,21,13.19,33,17,4.011,25,4,297,709,896,23,5,86,173,0,0,0,0,0
60000,42,186,1,571,0,25,12.6,32,22,4.404,29,4,290,765,952,23,5,102,208,0,0,0,0,0
65000,35,197,1,567,0,25,12.32,33,19,4.084,29,4,296,801,999,23,5,116,248,0,0,0,0,0
70000,21,204,0,575,0,27,11.889,33,21,4.236,31,5,294,839,1041,23,8,128,278,0,0,0,0,0
75000,21,214,0,565,0,28,11.679,33,23,4.423,32,5,297,868,1078,24,10,138,317,0,0,0,0,0
80000,14,215,2,569,0,28,11.679,33,23,4.423,32,5,297,895,1108,24,10,147,340,0,0,0,0,0
85000,14,216,3,567,0,28,11.679,33,24,4.522,32,5,298,922,1138,25,10,160,370,0,0,0,0,0
90000,13,222,0,565,0,27,11.852,32,21,4.282,32,5,299,950,1169,25,10,172,400,0,0,0,0,0
95000,16,218,3,563,0,28,11.5,32,24,4.495,34,5,299,978,1197,25,10,184,431,0,0,0,0,0
100000,18,213,0,569,0,27,11.704,32,25,4.607,34,5,296,1008,1220,25,11,195,456,0,0,0,0,0
