t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,615,89,54,282,7,18,8.04,11,14,3.539,54,3,32,243,601,150,0,0,103,69,125,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
20000,256,190,92,502,9,35,8.409,11,29,4.553,156,5,33,694,1585,432,0,0,358,248,281,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
30000,248,204,77,511,13,37,7.56,11,29,4.453,285,8,33,1153,2457,663,0,0,716,508,406,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
40000,226,201,90,523,8,38,8,12,29,4.489,358,8,44,1484,3092,856,0,0,964,688,498,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
50000,195,218,88,539,10,37,7.745,12,30,4.567,437,8,45,1807,3703,1044,0,0,1210,855,574,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
60000,193,202,92,553,9,39,8.25,13,31,4.593,540,8,35,2238,4464,1247,0,0,1544,1088,668,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
70000,197,203,99,541,16,40,7.393,11,36,4.847,643,9,43,2605,5163,1448,0,0,1841,1306,764,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
80000,285,180,83,492,15,35,7.64,11,24,4.061,771,11,33,3022,5937,1654,0,0,2209,1562,873,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
90000,299,184,88,469,8,26,8.853,15,17,3.615,871,12,46,3387,6648,1859,0,0,2503,1778,949,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
100000,254,216,74,496,4,30,9.176,11,18,3.484,971,12,45,3744,7349,2062,0,0,2787,1977,1050,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
110000,250,212,74,504,6,29,9,11,15,3.091,1072,12,46,4116,8067,2286,0,0,3072,2196,1159,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
120000,237,206,84,513,9,36,8.311,11,24,3.813,1187,12,41,4504,8837,2525,0,0,3375,2403,1263,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
130000,143,236,86,575,4,37,9.829,11,22,3.578,1269,12,49,4816,9484,2737,0,0,3589,2536,1349,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391
140000,162,232,89,557,8,36,8.841,11,22,3.737,1349,12,48,5118,10082,2920,0,0,3848,2714,1434,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428
150000,210,220,80,530,6,34,8.525,11,19,3.552,1439,12,50,5385,10627,3106,0,0,4093,2875,1512,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456
