t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,195,33,2,570,154,26,2.983,7,19,2.945,222,8,228,671,10525,166,33,0,51,69,9880,16,0,630,0,0,0,0,0,0,0,53,0
20000,125,28,4,643,161,23,3.315,8,32,3.622,335,8,245,1068,21371,306,64,0,179,261,20365,18,0,1042,0,0,0,0,0,0,0,71,0
30000,70,34,2,694,154,28,3.571,8,36,4.069,405,9,249,1382,29934,409,94,0,267,437,28636,18,0,1351,0,0,0,0,0,0,0,86,0
40000,92,46,6,656,128,38,3.62,8,33,4.229,476,9,246,1686,38961,528,114,0,371,676,37363,19,0,1652,0,0,0,0,0,0,0,82,0
50000,106,38,1,655,126,35,3.826,9,36,4.558,553,9,247,2014,47191,644,139,0,477,899,45302,19,0,1978,0,0,0,0,0,0,0,89,0
60000,84,34,1,681,128,32,3.962,8,40,4.8,622,9,249,2324,55811,758,158,0,561,1103,53633,20,0,2289,0,0,0,0,0,0,0,92,0
70000,95,42,1,662,115,37,4.039,8,45,4.931,685,11,243,2600,64506,875,176,0,649,1309,62058,21,0,2557,0,0,0,0,0,0,0,75,0
80000,79,37,1,683,120,33,4.092,9,50,5.075,770,11,242,2963,73482,982,196,0,744,1555,70697,22,0,2915,0,0,0,0,0,0,0,65,0
90000,113,37,2,648,116,34,4.033,9,45,5.046,843,12,243,3276,81421,1084,213,0,846,1799,78339,23,0,3228,0,0,0,0,0,0,0,63,0
100000,87,39,3,671,118,30,4.216,10,47,5.093,913,13,247,3604,90566,1199,245,0,940,2010,87184,24,0,3560,0,0,0,0,0,0,0,70,0
110000,86,42,0,672,111,34,4.179,10,50,5.091,988,13,242,3954,98960,1306,266,0,1040,2258,95248,25,0,3897,0,0,0,0,0,0,0,68,0
120000,84,43,2,671,93,36,4.651,10,48,5.166,1047,14,242,4252,106504,1411,290,0,1124,2472,102513,26,0,4192,0,0,0,0,0,0,0,78,0
130000,83,51,2,664,88,41,4.589,9,48,5.249,1107,15,240,4571,114290,1520,302,0,1208,2713,109987,28,0,4508,0,0,0,0,0,0,0,73,0
140000,72,40,0,688,103,32,4.57,9,52,5.296,1170,16,243,4895,121504,1608,318,0,1290,2929,116907,29,0,4833,0,0,0,0,0,0,0,77,0
150000,99,41,0,660,98,35,4.466,9,51,5.136,1228,16,246,5206,129625,1702,339,0,1377,3184,124736,31,0,5143,0,0,0,0,0,0,0,71,0
