t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,773,5,1,21,0,1,12,12,1,0,0,0,299,13,19,0,0,4,4,0,0,0,0,0
10000,750,10,0,40,0,2,13.5,14,2,1,1,1,295,34,43,1,1,6,6,0,0,0,0,0
15000,698,24,1,77,0,5,12.6,14,4,1.922,4,1,292,76,99,1,2,9,11,0,0,0,0,0
20000,623,33,3,141,0,7,12.286,14,6,2.522,6,2,291,151,186,2,2,15,23,0,0,0,0,0
25000,501,53,6,240,1,14,11.733,14,12,3.457,14,3,283,265,322,5,3,29,38,0,0,0,0,0
30000,391,72,8,329,4,20,9.125,14,14,3.57,29,7,283,389,468,7,5,42,68,0,0,0,0,0
35000,217,119,9,455,9,37,7.848,14,19,3.424,56,12,283,551,681,12,8,58,102,0,0,0,0,0
40000,116,152,1,531,7,43,7.46,16,23,3.412,78,13,284,710,877,16,8,92,172,0,0,0,0,0
45000,68,141,3,588,9,43,7.442,19,23,3.492,94,13,281,845,1010,19,9,118,236,0,0,0,0,0
50000,46,144,5,605,9,42,7.882,22,27,3.84,107,13,291,932,1108,23,11,143,293,0,0,0,0,0
55000,41,156,1,602,2,42,8.909,22,29,4.397,113,13,296,988,1177,25,12,169,340,0,0,0,0,0
60000,41,158,3,598,1,39,9.85,23,32,4.884,119,13,292,1056,1254,26,14,193,402,0,0,0,0,0
65000,33,165,0,602,1,36,10.838,22,34,5.027,122,14,294,1106,1313,26,14,216,446,0,0,0,0,0
70000,31,160,1,608,0,36,11.361,23,32,4.948,124,14,291,1154,1357,28,14,238,488,0,0,0,0,0
75000,22,173,1,604,2,34,10.917,23,32,4.948,126,14,294,1192,1408,28,16,264,529,0,0,0,0,0
80000,30,168,6,596,1,34,10.8,23,32,4.958,126,14,294,1239,1457,30,16,286,584,0,0,0,0,0
85000,34,161,0,605,0,35,11.543,23,31,4.879,129,14,298,1304,1508,31,17,317,639,0,0,0,0,0
90000,24,166,2,608,2,33,12.029,31,31,4.901,132,14,294,1354,1565,32,18,336,685,0,0,0,0,0
95000,18,176,0,606,2,34,11.833,31,34,5.059,134,14,299,1384,1605,32,19,351,717,0,0,0,0,0
100000,17,170,2,611,0,37,11.514,30,33,4.939,135,14,296,1432,1649,32,19,367,760,0,0,0,0,0
