t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,784,5,1,10,0,2,3.5,4,2,1,1,1,300,5,14,0,1,0,5,0
10000,746,15,0,39,4,9,2.692,5,6,2.035,16,6,298,25,68,1,4,0,20,0
15000,644,41,4,111,11,32,2.442,7,9,2.046,89,10,289,100,274,8,12,0,72,0
20000,444,94,6,256,33,73,2.349,7,10,2.267,255,13,277,273,755,22,30,0,214,0
25000,316,138,6,340,35,103,2.42,8,14,2.461,484,15,274,511,1392,42,44,0,454,0
30000,229,157,6,408,50,114,2.396,6,15,2.58,700,16,273,735,1990,66,70,0,703,0
35000,236,152,9,403,47,117,2.39,9,16,2.615,907,18,275,952,2541,84,88,0,980,0
40000,224,151,8,417,50,118,2.381,8,14,2.486,1124,18,273,1177,3127,108,106,0,1256,0
45000,302,140,2,356,39,100,2.41,6,16,2.682,1339,20,270,1403,3700,131,128,0,1564,0
50000,302,142,4,352,28,106,2.515,8,19,2.817,1553,22,278,1618,4287,148,142,0,1844,0
55000,290,144,6,360,40,96,2.478,6,18,2.774,1744,23,276,1829,4844,169,162,0,2109,0
60000,243,164,3,390,35,115,2.473,8,18,2.965,1930,25,281,2024,5358,191,180,0,2343,0
65000,228,161,2,409,38,111,2.57,8,20,3.072,2116,26,280,2224,5871,211,202,0,2592,0
70000,210,169,8,413,34,115,2.624,6,20,3.346,2278,26,284,2408,6362,225,222,0,2850,0
75000,267,166,11,356,31,110,2.468,6,18,3.084,2452,28,284,2587,6864,245,239,0,3144,0
80000,240,170,6,384,28,116,2.528,6,16,3.118,2628,28,287,2785,7388,265,264,0,3399,0
85000,268,159,4,369,35,101,2.485,5,14,3.014,2784,28,277,2961,7829,285,287,0,3642,0
90000,245,161,15,379,36,107,2.531,5,14,3.089,2957,28,282,3144,8309,304,307,0,3886,0
95000,236,161,16,387,39,108,2.503,6,18,3.188,3128,32,281,3327,8789,319,326,0,4134,0
100000,250,165,12,373,33,106,2.496,5,18,3.14,3294,33,282,3514,9273,335,348,0,4395,0
105000,241,167,1,391,33,106,2.612,5,18,3.239,3476,33,283,3705,9766,354,369,0,4644,0
110000,199,180,9,412,29,116,2.648,6,19,3.395,3622,34,284,3875,10223,370,395,0,4877,0
115000,217,166,7,410,32,103,2.807,7,22,3.676,3748,34,283,4017,10607,385,413,0,5093,0
120000,222,183,7,388,26,104,2.762,5,20,3.636,3879,35,285,4163,11009,395,434,0,5327,0
125000,216,171,7,406,38,100,2.688,5,20,3.42,4004,36,282,4306,11391,415,451,0,5549,0
130000,215,173,4,408,30,109,2.741,6,22,3.605,4134,36,286,4440,11761,431,476,0,5754,0
135000,221,176,6,397,27,104,2.771,6,20,3.493,4265,36,284,4589,12163,449,496,0,5982,0
140000,180,186,4,430,22,119,2.766,6,25,3.576,4399,36,288,4761,12597,467,522,0,6221,0
145000,215,176,7,402,33,108,2.695,7,21,3.468,4532,38,289,4901,12978,479,531,0,6447,0
150000,234,171,2,393,27,105,2.758,6,22,3.549,4675,39,280,5075,13413,491,548,0,6691,0
