t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,283,18,128,83,43,16,3.051,8,20,3.636,86,5,1,263,4914,78,44,0,43,43,0,170,4725,37,0,0,0,0,0,0,0,0,0,0,0
40000,216,24,164,108,53,18,3.437,9,29,4.206,165,5,0,524,12932,207,121,0,128,160,0,333,12573,51,0,0,0,0,0,0,0,0,0,0,0
60000,176,19,212,105,60,15,3.76,9,33,4.415,233,6,1,779,19517,289,180,0,211,294,0,517,18979,62,0,0,0,0,0,0,0,0,0,0,0
80000,235,28,147,102,35,19,3.981,9,28,4.319,292,7,1,1021,26393,405,241,0,306,494,0,662,25700,74,0,0,0,0,0,0,0,0,0,0,0
100000,179,29,177,127,44,22,3.894,10,33,4.58,358,7,3,1288,33242,500,292,0,387,608,0,836,32373,87,0,0,0,0,0,0,0,0,0,0,0
120000,199,28,179,106,39,20,4.068,12,34,4.67,415,8,0,1561,40795,625,352,0,477,789,0,1017,39744,94,0,0,0,0,0,0,0,0,0,0,0
140000,226,22,156,108,42,20,3.726,8,31,4.504,480,10,1,1825,47363,700,411,0,564,976,0,1191,46143,105,0,0,0,0,0,0,0,0,0,0,0
160000,174,26,207,105,46,21,4.045,9,32,4.685,542,11,2,2066,54714,795,484,0,646,1111,0,1366,53313,115,0,0,0,0,0,0,0,0,0,0,0
180000,194,28,178,112,40,22,4.048,8,31,4.554,600,11,1,2318,61978,883,536,0,726,1293,0,1542,60397,121,0,0,0,0,0,0,0,0,0,0,0
200000,147,26,209,130,59,20,3.848,8,34,4.724,671,12,0,2578,69212,982,597,0,805,1428,0,1713,67460,137,0,0,0,0,0,0,0,0,0,0,0
220000,180,21,199,112,53,17,3.957,9,35,4.711,738,13,3,2846,77283,1092,659,0,904,1619,0,1895,75353,146,0,0,0,0,0,0,0,0,0,0,0
240000,198,30,168,116,34,23,4.123,8,31,4.501,796,14,0,3122,84216,1177,719,0,999,1796,0,2067,82102,154,0,0,0,0,0,0,0,0,0,0,0
260000,164,30,200,118,44,24,3.882,11,35,4.69,852,14,1,3373,90778,1267,784,0,1071,1938,0,2234,88497,163,0,0,0,0,0,0,0,0,0,0,0
280000,166,32,189,125,43,23,4.076,12,29,4.557,911,15,0,3631,97547,1337,839,0,1161,2096,0,2411,95086,169,0,0,0,0,0,0,0,0,0,0,0
300000,189,35,171,117,32,24,4.393,11,34,4.881,963,15,1,3894,104885,1431,892,0,1255,2270,0,2591,102239,174,0,0,0,0,0,0,0,0,0,0,0
320000,152,36,185,139,36,25,4.393,11,36,4.871,1012,16,1,4165,111472,1526,953,0,1333,2409,0,2761,108654,186,0,0,0,0,0,0,0,0,0,0,0
340000,177,27,195,113,45,20,4.092,8,37,4.848,1077,17,2,4424,119137,1637,1017,0,1431,2595,0,2946,116140,197,0,0,0,0,0,0,0,0,0,0,0
360000,193,30,164,125,31,25,4.304,8,35,4.81,1128,17,0,4680,126181,1733,1073,0,1518,2764,0,3104,123020,209,0,0,0,0,0,0,0,0,0,0,0
380000,173,21,205,113,52,18,4.071,9,35,4.762,1190,18,0,4913,133506,1849,1132,0,1593,2922,0,3278,130179,224,0,0,0,0,0,0,0,0,0,0,0
400000,180,39,178,115,39,24,3.921,9,33,4.62,1247,18,0,5187,140464,1932,1192,0,1688,3098,0,3449,136947,232,0,0,0,0,0,0,0,0,0,0,0
420000,220,30,143,119,35,24,3.881,9,30,4.408,1304,19,1,5436,147256,2019,1243,0,1775,3269,0,3604,143592,244,0,0,0,0,0,0,0,0,0,0,0
440000,168,25,196,123,45,20,4.231,11,34,4.78,1363,20,2,5710,154443,2119,1298,0,1855,3401,0,3810,150576,250,0,0,0,0,0,0,0,0,0,0,0
460000,209,28,152,123,40,17,4.158,9,31,4.671,1411,20,0,5936,161509,2222,1354,0,1934,3574,0,3944,157505,259,0,0,0,0,0,0,0,0,0,0,0
480000,184,28,185,115,41,16,4.246,10,29,4.467,1462,23,0,6186,167496,2294,1407,0,2014,3718,0,4125,163309,267,0,0,0,0,0,0,0,0,0,0,0
500000,164,39,158,151,24,23,5.149,10,37,5.081,1501,23,0,6448,173954,2384,1459,0,2088,3847,0,4270,169609,276,0,0,0,0,0,0,0,0,0,0,0
520000,130,35,214,133,33,26,4.949,11,39,5.05,1544,23,0,6697,180191,2452,1498,0,2150,3979,0,4452,175666,282,0,0,0,0,0,0,0,0,0,0,0
540000,154,29,205,124,48,19,4.358,10,35,4.89,1604,25,1,6979,186018,2531,1538,0,2233,4170,0,4653,181296,290,0,0,0,0,0,0,0,0,0,0,0
560000,190,28,185,109,36,20,4.393,10,33,4.689,1645,25,0,7220,192588,2605,1581,0,2316,4341,0,4819,187700,297,0,0,0,0,0,0,0,0,0,0,0
580000,190,22,200,100,44,16,4.367,11,31,4.654,1694,26,1,7457,198719,2688,1630,0,2403,4485,0,4984,193669,309,0,0,0,0,0,0,0,0,0,0,0
600000,220,19,170,103,43,14,3.93,9,31,4.507,1752,26,1,7686,205560,2780,1699,0,2487,4656,0,5124,200371,319,0,0,0,0,0,0,0,0,0,0,0
620000,184,23,176,129,39,17,4.536,10,33,4.751,1805,27,0,7933,211754,2874,1757,0,2554,4778,0,5278,206405,325,0,0,0,0,0,0,0,0,0,0,0
640000,199,25,179,109,35,17,4.596,11,29,4.534,1849,28,0,8173,218149,2958,1800,0,2624,4944,0,5451,212623,327,0,0,0,0,0,0,0,0,0,0,0
660000,200,28,165,119,36,14,4.66,12,31,4.679,1896,28,2,8415,224811,3042,1849,0,2698,5100,0,5602,219130,341,0,0,0,0,0,0,0,0,0,0,0
680000,156,39,178,139,28,24,4.846,15,32,4.662,1943,29,0,8691,231788,3127,1892,0,2766,5231,0,5785,225911,346,0,0,0,0,0,0,0,0,0,0,0
