t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,271,90,99,180,1,16,9.765,15,5,1.763,21,2,3,70,423,109,0,0,49,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,160,120,117,243,1,22,9.261,15,6,1.758,60,3,1,136,709,187,0,0,120,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,148,121,111,260,4,23,8.444,15,10,2.513,100,3,1,193,904,254,0,0,196,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,112,140,84,304,1,21,9.318,10,4,1.433,129,4,0,253,1099,317,0,0,263,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,84,152,50,354,2,20,8.955,10,6,1.866,151,4,0,311,1237,368,0,0,310,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,131,139,56,314,3,23,7.346,10,13,3.007,197,5,1,372,1412,419,0,0,411,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,82,147,82,329,1,20,9.048,10,5,1.675,224,5,1,423,1589,484,0,0,469,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,94,143,72,331,4,24,8.107,10,9,2.448,258,5,2,485,1740,532,0,0,534,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,88,147,64,341,0,25,9.68,10,5,1.594,296,5,1,546,1930,596,0,0,622,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,70,154,42,374,0,21,10,10,2,0.959,316,5,1,614,2059,643,0,0,669,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
