t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
20000,123,2,4,71,29,2,2.387,3,5,2.081,40,4,37,120,2645,8,2,0,14,17,0,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
40000,142,2,7,49,24,2,2.154,3,3,0.991,114,8,35,263,6806,13,3,0,48,57,0,6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
60000,145,0,11,44,26,0,2.115,3,3,0.893,175,10,38,371,10409,26,5,0,84,95,0,9973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
80000,141,3,3,53,25,3,2,2,2,0.677,231,12,37,484,13642,33,8,0,107,120,0,13088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
100000,154,0,6,40,23,0,2,2,2,0.258,303,19,36,610,17578,42,9,0,134,146,0,16882,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
120000,136,3,7,54,27,3,2.033,3,2,0.211,366,20,37,714,20989,45,10,0,161,173,0,20164,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
140000,164,2,1,33,15,2,2,2,2,0.323,427,21,35,828,25200,50,10,0,184,196,0,24249,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
160000,145,5,9,41,18,5,2.174,3,2,0.667,481,23,37,925,28315,59,11,0,207,219,0,27249,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330
180000,140,0,9,51,29,0,2.069,3,4,0.786,566,28,37,1083,32388,69,13,0,236,251,0,31157,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384
200000,149,3,8,40,21,3,2,2,1,0,636,31,39,1213,36452,79,13,0,267,280,0,35072,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434
220000,145,1,2,52,26,1,2,2,1,0,712,32,36,1351,40103,94,14,0,305,316,0,38573,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
240000,134,4,8,54,27,3,2.067,3,2,0.353,799,37,38,1496,44522,101,15,0,334,346,0,42813,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525
260000,148,2,2,48,21,2,2.13,3,3,0.966,872,39,36,1634,48372,108,19,0,370,385,0,46517,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573
280000,156,1,7,36,19,1,2.15,4,4,1.257,929,42,36,1738,51552,119,20,0,394,411,0,49573,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621
300000,127,4,6,63,26,4,2.267,3,4,1.722,990,45,34,1866,54866,125,21,0,415,433,0,52745,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662
320000,147,1,3,49,24,1,2.08,3,4,1.566,1064,50,38,2004,58791,139,23,0,452,471,0,56524,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710
340000,138,2,5,55,27,2,2.069,3,4,0.786,1122,52,34,2110,62110,152,25,0,479,501,0,59713,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747
360000,136,1,10,53,29,1,2.1,3,4,1.014,1191,54,37,2239,66215,161,26,0,509,533,0,63672,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792
380000,143,2,5,50,22,2,2.25,3,6,1.726,1259,57,34,2380,69992,165,31,0,545,572,0,67302,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838
400000,151,4,2,43,17,4,2.143,3,3,0.723,1314,59,36,2496,73217,174,33,0,571,600,0,70406,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881
420000,150,1,6,43,23,1,2.042,3,4,0.742,1389,60,39,2626,77033,179,34,0,600,630,0,74073,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927
440000,164,0,10,26,17,0,2.118,3,2,0.523,1450,62,40,2735,80274,186,36,0,628,658,0,77191,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970
460000,156,1,7,36,20,1,2.048,3,2,0.276,1506,63,38,2833,83046,196,38,0,649,679,0,79854,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003
480000,164,2,4,30,15,2,2,2,2,0.977,1561,65,39,2933,86331,207,39,0,674,703,0,83028,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039
500000,187,1,0,12,5,1,2,2,2,0.65,1604,68,40,3021,88802,219,39,0,692,720,0,85412,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076
520000,192,0,2,6,4,0,2,2,1,0,1619,68,39,3046,89819,220,39,0,700,728,0,86399,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085
540000,146,2,5,47,24,2,2,2,1,0,1669,72,37,3135,91996,227,39,0,713,741,0,88476,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101
560000,159,1,6,34,19,1,2,2,1,0,1744,75,37,3263,95662,232,39,0,748,775,0,91988,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148
580000,154,2,7,37,20,2,2,2,2,0.267,1810,77,40,3378,98957,242,40,0,775,801,0,95146,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187
600000,142,0,6,52,28,0,2.071,3,4,0.806,1886,79,35,3519,102712,251,42,0,802,829,0,98744,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233
620000,164,1,4,31,16,1,2.059,3,4,1.277,1943,79,37,3623,105968,256,44,0,837,864,0,101877,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269
640000,155,3,7,35,18,3,2,2,3,0.857,2003,79,38,3723,108984,269,45,0,856,883,0,104772,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307
660000,157,1,3,39,20,1,2,2,3,0.723,2057,79,39,3831,112106,278,49,0,874,903,0,107792,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344
680000,154,3,5,38,18,3,2.048,3,4,0.988,2126,79,37,3943,115627,282,50,0,903,932,0,111171,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384
700000,145,3,7,45,23,3,2,2,3,0.991,2194,79,39,4066,119539,299,53,0,928,959,0,114950,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425
720000,170,1,4,25,13,1,2.071,3,3,0.735,2252,79,37,4177,122631,309,54,0,955,986,0,117925,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468
740000,137,1,7,55,29,1,2.067,3,4,0.879,2321,79,35,4299,125911,316,58,0,981,1017,0,121059,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501
760000,152,2,4,42,21,2,2,2,2,0.426,2386,79,39,4417,129489,327,59,0,1017,1053,0,124506,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538
780000,148,2,7,43,23,2,2,2,3,0.64,2453,79,37,4537,132839,333,60,0,1050,1087,0,127717,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572
800000,155,1,3,41,21,1,2,2,2,0.267,2514,79,35,4650,136257,344,60,0,1075,1112,0,131013,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611
820000,155,2,4,39,14,2,2.625,3,5,1.953,2578,79,36,4786,139618,356,65,0,1105,1141,0,134225,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659
