t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,550,63,15,172,26,58,2.19,9,7,1.416,104,7,252,211,277,0,6,206,0,0,10,36,0,0,0,102,0,0,0,0,0,0
10000,119,166,11,504,76,152,2.167,9,11,1.633,362,11,257,753,974,22,15,304,0,0,12,176,0,0,1,91,3,1,2,0,0,1
15000,40,188,2,570,82,166,2.242,7,14,1.912,504,12,272,1062,1368,27,17,384,0,0,13,347,0,0,2,82,1,2,0,0,0,0
20000,71,204,7,518,44,180,2.25,8,16,1.872,562,13,289,1184,1562,31,22,448,0,0,13,484,0,0,6,73,3,2,2,0,0,1
25000,57,211,2,530,42,180,2.306,8,17,2.063,633,14,274,1345,1770,34,27,501,0,0,13,609,0,0,2,82,2,4,2,0,0,1
30000,74,212,3,511,35,180,2.284,7,17,1.972,702,15,288,1502,1979,39,31,548,0,0,13,742,0,0,1,75,3,0,2,0,0,1
35000,68,210,5,517,41,176,2.313,6,15,2.097,771,15,280,1658,2168,45,39,601,0,0,13,861,0,0,3,71,1,4,0,0,0,0
40000,74,217,0,509,26,180,2.35,6,17,2.194,834,15,290,1803,2370,54,43,640,0,0,13,984,0,0,2,72,3,1,2,0,0,1
45000,63,216,7,514,38,175,2.343,8,19,2.128,911,16,288,1960,2583,57,46,699,0,0,13,1115,0,0,3,69,3,4,3,0,0,1
50000,53,211,5,531,41,169,2.4,6,18,2.258,979,17,290,2131,2787,60,53,762,0,0,13,1250,0,0,4,74,0,8,0,0,0,0
55000,61,217,3,519,29,173,2.441,6,22,2.398,1031,17,286,2253,2948,65,57,819,0,0,13,1386,0,0,4,77,2,3,0,0,0,0
60000,74,218,2,506,25,169,2.469,7,20,2.588,1101,17,278,2415,3164,70,64,876,0,0,13,1523,0,0,4,69,3,4,2,0,0,1
65000,70,208,5,517,39,156,2.503,6,21,2.67,1169,17,284,2570,3346,76,67,937,0,0,14,1658,0,0,6,68,2,5,2,0,0,1
70000,80,216,2,502,28,169,2.437,7,20,2.463,1215,17,294,2689,3495,82,78,982,0,0,14,1787,0,0,6,65,5,5,4,0,0,2
75000,68,217,2,513,30,174,2.392,5,17,2.4,1289,18,283,2859,3709,89,84,1032,0,0,14,1932,0,0,4,64,4,5,2,0,0,1
80000,47,220,0,533,36,179,2.363,8,20,2.289,1354,19,289,3014,3892,95,86,1091,0,0,14,2070,0,0,2,74,0,3,0,0,0,0
85000,64,216,3,517,35,176,2.355,8,17,2.175,1411,20,284,3132,4049,98,87,1150,0,0,14,2194,0,0,5,73,1,3,0,0,0,0
90000,79,212,6,503,31,175,2.383,7,18,2.275,1471,20,281,3270,4234,102,90,1197,0,0,14,2319,0,0,6,71,4,4,2,0,0,1
95000,69,214,3,514,37,178,2.321,6,17,2.129,1539,21,281,3416,4417,105,93,1236,0,0,14,2438,0,0,5,71,5,5,4,0,0,1
100000,67,211,7,515,47,172,2.32,7,15,2.157,1614,23,282,3569,4617,108,96,1281,0,0,14,2558,0,0,6,74,5,3,2,0,0,1
