t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,164,22,153,173,44,17,4.639,7,12,2.834,80,4,2,195,6271,13,3,0,39,89,30,0,5818,4,0,0,0,0,0,0,0,0,0,0,0
40000,91,27,158,236,52,25,4.519,7,14,3.007,177,5,1,447,16414,34,16,0,145,384,102,0,15495,4,0,0,0,0,0,0,0,0,0,0,0
60000,70,30,81,331,60,25,4.318,7,14,3.234,256,6,1,718,26491,66,27,0,245,628,152,0,25216,4,0,0,0,0,0,0,0,0,0,0,0
80000,84,18,50,360,69,16,4.494,7,19,3.587,337,8,1,979,36140,82,31,0,348,876,205,0,34524,4,0,0,0,0,0,0,0,0,0,0,0
100000,82,23,78,329,59,21,4.575,7,20,3.913,413,8,3,1209,46170,103,35,0,452,1153,273,0,44176,6,0,0,0,0,0,0,0,0,0,0,0
120000,63,25,104,320,65,21,4.547,7,22,3.959,494,9,1,1460,56358,125,39,0,556,1424,320,0,53971,7,0,0,0,0,0,0,0,0,0,0,0
140000,99,21,112,280,64,20,4.31,8,18,3.727,584,10,3,1707,66310,155,45,0,681,1749,362,0,63513,8,0,0,0,0,0,0,0,0,0,0,0
160000,85,23,80,324,75,19,4.032,8,23,3.879,681,11,0,1969,76429,193,54,0,798,2016,423,0,73237,8,0,0,0,0,0,0,0,0,0,0,0
180000,76,18,106,312,86,15,3.941,8,24,4.032,774,11,2,2212,87244,222,61,0,915,2274,464,0,83668,8,0,0,0,0,0,0,0,0,0,0,0
200000,104,23,88,297,73,19,3.815,8,23,3.939,867,13,2,2458,98289,245,64,0,1046,2571,529,0,94314,9,0,0,0,0,0,0,0,0,0,0,0
220000,86,20,134,272,88,19,3.57,8,24,3.896,984,14,2,2694,110388,284,67,0,1181,2867,578,0,105957,9,0,0,0,0,0,0,0,0,0,0,0
240000,81,23,116,292,85,21,3.443,8,25,3.705,1085,14,1,2933,121852,318,71,0,1308,3115,628,0,117042,9,0,0,0,0,0,0,0,0,0,0,0
260000,104,18,102,288,95,18,3.265,7,22,3.659,1208,14,3,3200,134249,348,74,0,1451,3400,670,0,129035,10,0,0,0,0,0,0,0,0,0,0,0
280000,102,22,107,281,94,20,3.246,6,18,3.47,1320,15,1,3417,146541,379,82,0,1579,3634,703,0,140969,10,0,0,0,0,0,0,0,0,0,0,0
300000,99,13,121,279,110,13,3.114,6,19,3.388,1444,16,0,3649,158731,415,91,0,1722,3898,745,0,152757,11,0,0,0,0,0,0,0,0,0,0,0
320000,141,14,111,246,102,14,2.957,6,16,3.252,1576,17,1,3882,171546,457,98,0,1890,4185,780,0,165161,11,0,0,0,0,0,0,0,0,0,0,0
340000,112,16,107,277,105,15,3.092,6,17,3.294,1721,18,2,4157,184685,493,109,0,2053,4468,840,0,177828,11,0,0,0,0,0,0,0,0,0,0,0
360000,91,22,113,286,104,20,3.073,6,18,3.298,1858,19,0,4409,197016,530,121,0,2211,4741,888,0,189718,12,0,0,0,0,0,0,0,0,0,0,0
