t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,313,55,167,105,11,19,7.733,10,9,2.451,45,2,0,65,424,100,0,0,59,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,344,56,144,96,2,17,9.789,10,3,0.913,75,2,0,118,640,153,0,0,138,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,268,86,144,142,3,19,9.091,10,5,1.568,90,2,0,180,839,212,0,0,176,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,201,99,155,185,3,21,9.167,10,6,1.762,108,3,1,239,1015,265,0,0,213,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,218,98,146,178,5,21,8.192,10,6,1.94,151,4,0,310,1255,322,0,0,304,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,209,93,153,185,4,25,9.483,10,6,1.716,183,4,1,369,1450,373,0,0,368,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,195,101,162,182,2,24,9.385,10,5,1.523,217,4,1,439,1690,441,0,0,455,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,156,116,173,195,1,26,9.481,10,4,1.328,250,4,2,506,1930,507,0,0,536,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,200,101,163,176,3,24,8.889,10,7,1.857,278,4,0,558,2099,558,0,0,613,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,162,112,173,192,2,26,9.393,10,5,1.469,308,4,0,612,2281,612,0,0,675,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
