t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,151,41,8,600,161,33,2.902,8,28,3.579,430,12,206,1208,16607,222,60,0,269,365,15429,21,0,0,0,0,0,0,0,0,0,0,0
20000,137,46,1,616,127,42,3.343,8,36,4.304,729,13,195,2280,33854,428,119,0,676,1008,31651,25,0,0,0,0,0,0,0,0,0,0,0
30000,104,58,3,634,116,47,3.528,8,34,4.41,957,14,198,3151,49133,642,161,0,985,1553,46077,27,0,0,0,0,0,0,0,0,0,0,0
40000,146,45,11,598,127,39,3.416,8,35,4.347,1223,15,195,4105,64540,838,211,0,1337,2184,60578,32,0,0,0,0,0,0,0,0,0,0,0
50000,163,39,4,593,123,34,3.433,7,37,4.385,1466,16,201,5033,80227,1040,256,0,1679,2772,75383,33,0,0,0,0,0,0,0,0,0,0,0
60000,148,49,7,596,121,40,3.528,7,41,4.629,1750,18,186,6031,96713,1230,293,0,2023,3419,90881,36,0,0,0,0,0,0,0,0,0,0,0
70000,123,57,2,618,89,49,3.957,8,39,4.775,1964,19,204,6986,111343,1408,337,0,2354,4022,104587,36,0,0,0,0,0,0,0,0,0,0,0
80000,112,51,5,632,97,45,3.93,8,42,4.775,2173,22,207,7897,124699,1574,377,0,2659,4617,117061,38,0,0,0,0,0,0,0,0,0,0,0
90000,147,46,5,602,109,39,3.73,8,40,4.512,2384,25,202,8778,137708,1737,413,0,2981,5197,129223,40,0,0,0,0,0,0,0,0,0,0,0
100000,106,53,1,640,108,44,3.704,9,40,4.574,2617,26,195,9739,152225,1954,458,0,3288,5816,142804,41,0,0,0,0,0,0,0,0,0,0,0
110000,110,63,1,626,104,47,3.748,10,37,4.605,2839,28,207,10611,166556,2121,501,0,3600,6383,156287,44,0,0,0,0,0,0,0,0,0,0,0
120000,124,47,6,623,120,35,3.645,9,41,4.546,3090,29,190,11568,181476,2300,550,0,3939,7002,170293,47,0,0,0,0,0,0,0,0,0,0,0
130000,145,45,4,605,121,38,3.509,10,38,4.212,3328,31,209,12511,196272,2522,592,0,4268,7635,184178,47,0,0,0,0,0,0,0,0,0,0,0
140000,156,40,3,601,118,33,3.709,10,37,4.535,3584,34,183,13489,212141,2726,640,0,4613,8271,199107,50,0,0,0,0,0,0,0,0,0,0,0
150000,125,51,5,619,97,45,3.88,9,46,4.893,3812,35,208,14456,226624,2924,691,0,4925,8906,212646,52,0,0,0,0,0,0,0,0,0,0,0
