seed,rows,profile,steps,iters,armed,perRow,completeRows,cross,crossA,armedA
64,4,square,50000,8,31,7.75,3,31,16,16
63,4,square,50000,8,28,7,2,28,12,12
64,4,opposed20,50000,8,32,8,4,26,16,16
63,4,opposed20,50000,8,30,7.5,3,22,14,14
65,4,square,50000,8,27,6.75,2,27,12,12
66,4,square,50000,8,30,7.5,2,30,15,15
65,4,opposed20,50000,8,29,7.25,1,26,14,14
66,4,opposed20,50000,8,30,7.5,2,22,15,15
