t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,428,20,11,341,94,18,2.911,6,15,3.027,136,7,262,392,5352,52,21,0,30,39,0,4996,25,0,0,0,0,0,0,0,0,0,0,0
20000,184,33,2,581,139,29,3.262,7,22,3.749,263,9,276,841,15892,191,52,0,108,167,0,15111,26,0,0,0,0,0,0,0,0,0,0,0
30000,183,30,2,585,135,26,3.404,8,28,4.013,347,10,287,1168,24640,304,92,0,216,386,0,23572,28,0,0,0,0,0,0,0,0,0,0,0
40000,178,27,2,593,133,24,3.58,8,36,4.311,430,12,287,1480,33828,430,122,0,314,591,0,32488,33,0,0,0,0,0,0,0,0,0,0,0
50000,180,26,0,594,130,22,3.73,8,40,4.517,508,13,292,1774,42438,542,137,0,413,785,0,40827,36,0,0,0,0,0,0,0,0,0,0,0
60000,148,28,0,624,132,26,3.728,8,37,4.47,588,14,286,2103,50927,649,164,0,507,985,0,49013,38,0,0,0,0,0,0,0,0,0,0,0
70000,188,40,0,572,103,33,3.772,8,36,4.493,651,14,290,2396,59396,761,186,0,614,1220,0,57193,38,0,0,0,0,0,0,0,0,0,0,0
80000,170,38,6,586,107,33,3.886,8,37,4.611,731,14,282,2713,67117,854,206,0,707,1428,0,64614,39,0,0,0,0,0,0,0,0,0,0,0
90000,204,22,2,572,119,20,3.885,8,37,4.657,809,16,286,3037,75314,955,228,0,806,1667,0,72526,39,0,0,0,0,0,0,0,0,0,0,0
100000,160,41,0,599,105,33,4.014,9,34,4.592,885,17,289,3356,84080,1078,244,0,895,1870,0,80972,40,0,0,0,0,0,0,0,0,0,0,0
110000,202,31,1,565,100,26,4.151,8,42,4.903,955,18,291,3645,92392,1185,264,0,989,2098,0,89025,42,0,0,0,0,0,0,0,0,0,0,0
120000,174,32,2,591,98,30,4.195,8,39,4.812,1022,18,274,3945,101114,1304,282,0,1067,2293,0,97466,44,0,0,0,0,0,0,0,0,0,0,0
130000,146,35,4,615,109,29,4.058,8,41,4.827,1086,19,288,4235,108559,1407,300,0,1146,2480,0,104634,45,0,0,0,0,0,0,0,0,0,0,0
140000,129,29,3,639,123,26,4.04,8,40,4.743,1164,20,289,4545,115824,1488,318,0,1222,2687,0,111612,46,0,0,0,0,0,0,0,0,0,0,0
150000,158,35,1,606,106,32,4.022,10,38,4.706,1223,20,281,4816,123693,1597,335,0,1311,2900,0,119225,47,0,0,0,0,0,0,0,0,0,0,0
