t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,246,36,68,450,97,30,3.709,8,27,3.874,150,7,26,511,6964,98,37,0,39,60,6411,26,0,477,0,0,0,0,0,0,0,44,0
20000,96,41,11,652,117,35,4,8,43,4.478,251,9,53,978,17085,230,70,0,131,241,16132,27,0,971,0,0,0,0,0,0,0,60,0
30000,98,34,5,663,125,28,3.993,10,44,4.641,326,10,52,1323,25615,343,98,0,225,483,24351,27,0,1315,0,0,0,0,0,0,0,61,0
40000,81,46,8,665,111,41,3.947,12,40,4.526,380,10,52,1570,33047,427,116,0,303,652,31534,27,0,1562,0,0,0,0,0,0,0,66,0
50000,91,40,8,661,120,33,4.026,12,44,4.677,457,10,54,1891,41644,532,145,0,403,877,39839,27,0,1885,0,0,0,0,0,0,0,64,0
60000,76,40,15,669,118,30,4.061,12,45,4.64,522,10,57,2185,48887,612,161,0,505,1062,46794,27,0,2182,0,0,0,0,0,0,0,68,0
70000,71,38,4,687,115,29,4.271,12,46,4.777,579,10,56,2454,55883,719,179,0,580,1235,53552,28,0,2450,0,0,0,0,0,0,0,75,0
80000,89,33,4,674,108,26,4.552,12,47,4.946,633,10,55,2703,62913,815,188,0,660,1420,60342,28,0,2698,0,0,0,0,0,0,0,77,0
90000,78,35,11,676,105,29,4.604,12,48,5.065,693,10,52,2985,69721,903,202,0,745,1620,66870,30,0,2977,0,0,0,0,0,0,0,80,0
100000,99,47,7,647,83,33,4.897,13,50,5.232,738,10,56,3258,76804,990,219,0,834,1835,73687,30,0,3254,0,0,0,0,0,0,0,87,0
110000,69,43,9,679,87,32,5.067,13,56,5.387,784,10,55,3513,83532,1062,244,0,901,1992,80179,30,0,3508,0,0,0,0,0,0,0,85,0
120000,72,52,2,674,67,42,5.367,13,51,5.257,825,12,54,3781,89661,1148,261,0,974,2195,86048,30,0,3775,0,0,0,0,0,0,0,86,0
130000,100,44,4,652,76,30,5.358,13,50,5.296,864,12,56,4000,95933,1215,272,0,1044,2371,92113,30,0,3996,0,0,0,0,0,0,0,83,0
140000,87,49,7,657,72,32,5.452,13,54,5.405,905,13,55,4274,103108,1314,287,0,1107,2577,99019,30,0,4269,0,0,0,0,0,0,0,80,0
150000,73,51,8,668,68,38,5.33,13,55,5.473,953,13,56,4560,109164,1389,301,0,1177,2780,104800,30,0,4556,0,0,0,0,0,0,0,85,0
