t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,162,26,6,606,184,22,2.854,7,23,3.372,254,8,216,742,11460,152,36,0,70,87,10754,21,0,680,0,0,0,0,0,0,0,31,0
20000,111,32,1,656,173,24,3.122,7,24,3.707,359,9,235,1128,21694,289,56,0,200,293,20621,21,0,1080,0,0,0,0,0,0,0,44,0
30000,84,38,4,674,157,32,3.349,8,30,3.993,436,10,236,1429,30601,395,77,0,297,478,29238,22,0,1377,0,0,0,0,0,0,0,50,0
40000,109,45,3,643,136,35,3.404,8,34,4.086,517,10,233,1750,40120,519,100,0,407,720,38451,22,0,1691,0,0,0,0,0,0,0,50,0
50000,118,50,1,631,120,41,3.516,8,37,4.368,599,11,237,2075,48450,618,129,0,526,938,46484,24,0,2019,0,0,0,0,0,0,0,58,0
60000,113,42,1,644,122,33,3.755,8,34,4.6,683,12,246,2440,57071,700,148,0,642,1170,54767,25,0,2390,0,0,0,0,0,0,0,59,0
70000,90,38,1,671,134,33,3.796,8,38,4.635,778,12,248,2820,66590,818,163,0,748,1415,63926,26,0,2768,0,0,0,0,0,0,0,74,0
80000,101,44,2,653,114,38,4,8,40,4.846,840,12,244,3126,74506,914,181,0,853,1634,71544,26,0,3069,0,0,0,0,0,0,0,74,0
90000,97,34,4,665,118,30,4.155,9,44,4.996,896,14,248,3387,81753,1007,210,0,940,1795,78563,26,0,3333,0,0,0,0,0,0,0,72,0
100000,101,33,6,660,113,30,4.336,9,46,5.086,962,14,241,3718,90116,1115,228,0,1034,2036,86607,26,0,3655,0,0,0,0,0,0,0,69,0
110000,102,36,0,662,109,33,4.261,8,44,4.932,1025,14,245,4018,97858,1227,241,0,1123,2245,94062,26,0,3957,0,0,0,0,0,0,0,73,0
120000,95,46,0,659,98,38,4.368,8,47,5.231,1086,15,242,4334,105506,1332,272,0,1210,2478,101408,26,0,4267,0,0,0,0,0,0,0,72,0
130000,80,43,1,676,96,38,4.537,8,54,5.38,1155,16,248,4673,112859,1425,294,0,1299,2710,108449,28,0,4611,0,0,0,0,0,0,0,85,0
140000,102,40,0,658,104,32,4.338,10,51,5.321,1221,16,248,4988,120676,1540,308,0,1384,2957,115970,29,0,4924,0,0,0,0,0,0,0,71,0
150000,103,39,0,658,105,35,4.307,9,52,5.292,1297,17,240,5338,129544,1650,337,0,1475,3215,124516,29,0,5259,0,0,0,0,0,0,0,78,0
