t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,335,17,7,441,127,13,3.079,7,22,3.253,141,7,268,434,6510,78,22,0,7,0,6121,24,0,0,0,0,0,0,0,0,0,0,0
20000,98,21,2,679,185,17,3.238,7,28,3.743,230,8,293,733,15602,189,42,0,47,0,14940,28,0,0,0,0,0,0,0,0,0,0,0
30000,70,20,1,709,183,18,3.393,7,31,3.914,254,8,298,832,21069,266,53,0,94,0,20321,28,0,0,0,0,0,0,0,0,0,0,0
40000,48,20,0,732,187,17,3.436,7,30,4.075,272,8,294,902,25103,317,64,0,130,0,24299,29,0,0,0,0,0,0,0,0,0,0,0
50000,72,17,0,711,187,15,3.455,7,34,4.184,290,8,296,946,29537,362,71,0,180,0,28699,29,0,0,0,0,0,0,0,0,0,0,0
60000,58,15,0,727,185,14,3.543,7,37,4.332,305,8,298,1020,33926,420,86,0,222,0,33031,29,0,0,0,0,0,0,0,0,0,0,0
70000,61,18,1,720,174,17,3.602,8,37,4.426,317,8,298,1082,38077,480,94,0,272,0,37124,29,0,0,0,0,0,0,0,0,0,0,0
80000,50,18,0,732,178,17,3.554,8,39,4.438,337,8,298,1150,41919,525,103,0,314,0,40907,29,0,0,0,0,0,0,0,0,0,0,0
90000,55,22,0,723,170,21,3.565,8,41,4.498,346,8,295,1185,45768,573,108,0,347,0,44724,30,0,0,0,0,0,0,0,0,0,0,0
100000,68,17,0,715,174,15,3.661,8,40,4.593,363,8,298,1244,49761,630,113,0,396,0,48668,30,0,0,0,0,0,0,0,0,0,0,0
