t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,391,2,0,7,0,1,5,5,1,0,0,0,299,5,8,0,0,2,3,0,0,1,0
10000,392,2,0,6,0,1,5,5,1,0,0,0,300,7,10,0,0,3,6,0,0,1,0
15000,387,4,0,9,0,2,4.5,5,2,1,1,1,299,12,17,0,0,3,8,0,0,1,0
20000,385,4,0,11,0,3,3,5,2,0.918,4,3,297,22,27,0,0,4,14,0,0,1,0
25000,383,5,0,12,0,3,3.333,4,2,0.918,6,3,300,31,40,1,0,5,19,0,0,2,0
30000,378,2,3,17,3,2,3.8,6,3,1.522,11,5,296,42,50,1,2,9,22,0,0,4,0
35000,359,11,1,29,3,8,2.455,6,4,1.491,19,7,297,64,82,3,2,9,25,0,0,9,0
40000,334,16,0,50,6,15,2.333,5,5,1.375,35,8,293,99,125,4,2,10,32,0,0,11,0
45000,304,23,5,68,11,22,2.152,4,4,1.053,61,11,293,147,194,6,3,10,46,0,0,18,0
50000,280,34,1,85,9,31,2.125,4,5,1.233,89,12,289,205,276,12,3,10,60,0,0,27,0
55000,279,32,2,87,12,30,2.071,3,5,1.496,128,13,291,288,382,18,7,10,86,0,0,45,0
60000,286,31,5,78,9,30,2.103,4,5,1.621,175,16,293,379,510,23,8,12,122,0,0,61,0
65000,302,26,5,67,9,25,2.088,4,5,1.566,230,17,295,484,654,26,9,12,155,0,0,91,0
70000,290,32,1,77,5,31,2.111,4,5,1.481,269,18,292,567,766,30,12,15,181,0,0,108,0
75000,289,26,4,81,16,25,2.049,4,4,1.333,325,20,288,670,902,39,15,15,211,0,0,133,0
80000,245,37,4,114,21,36,2.053,4,5,1.413,393,21,284,808,1079,51,20,15,241,0,0,159,0
85000,227,46,4,123,17,45,2.048,4,5,1.388,466,21,289,959,1279,59,25,15,281,0,0,192,0
90000,251,38,2,109,18,36,2.056,4,5,1.258,523,22,286,1073,1431,62,30,16,312,0,0,230,0
95000,239,42,4,115,15,41,2.125,5,5,1.259,590,25,280,1201,1614,69,33,18,347,0,0,264,0
100000,244,44,3,109,11,41,2.135,4,6,1.375,639,25,295,1306,1753,73,37,20,383,0,0,290,0
