t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,360,38,2,400,88,31,3.008,7,21,2.736,217,9,269,657,6049,81,29,0,124,151,5396,14,0,0,0,0,0,0,0,0,0,0,0
20000,350,36,5,408,90,28,3.186,7,27,3.866,441,11,272,1354,15626,182,57,0,409,560,14288,18,0,0,0,0,0,0,0,0,0,0,0
30000,264,42,7,487,95,39,3.388,8,32,4.329,641,12,264,2084,24701,291,92,0,665,947,22649,23,0,0,0,0,0,0,0,0,0,0,0
40000,262,45,2,491,108,41,3,7,27,3.774,877,13,268,2858,33772,423,122,0,964,1420,30961,26,0,0,0,0,0,0,0,0,0,0,0
50000,278,45,10,467,113,39,2.901,8,27,3.498,1110,15,266,3565,43324,535,147,0,1265,1843,39818,28,0,0,0,0,0,0,0,0,0,0,0
60000,274,48,2,476,93,39,3.212,10,28,3.965,1323,17,270,4245,52581,668,180,0,1540,2233,48409,30,0,0,0,0,0,0,0,0,0,0,0
70000,248,42,4,506,107,35,3.31,8,31,4.162,1541,19,270,4983,61488,779,219,0,1824,2651,56613,35,0,0,0,0,0,0,0,0,0,0,0
80000,243,41,8,508,108,34,3.303,9,28,4.027,1740,22,268,5663,69994,894,247,0,2092,3055,64456,39,0,0,0,0,0,0,0,0,0,0,0
90000,283,42,4,471,108,36,3.104,9,25,3.916,1945,23,279,6322,79686,1003,276,0,2360,3471,73504,42,0,0,0,0,0,0,0,0,0,0,0
100000,242,54,6,498,98,46,3.243,10,25,3.892,2159,24,259,7038,89404,1138,309,0,2638,3877,82512,45,0,0,0,0,0,0,0,0,0,0,0
110000,302,36,4,458,104,31,3.163,9,28,3.699,2365,25,250,7749,98639,1270,345,0,2931,4327,91080,52,0,0,0,0,0,0,0,0,0,0,0
120000,297,38,6,459,101,34,3.193,7,25,3.854,2581,26,259,8459,107989,1405,374,0,3215,4749,99729,55,0,0,0,0,0,0,0,0,0,0,0
130000,255,47,4,494,92,44,3.324,7,27,3.983,2794,27,263,9228,116965,1511,414,0,3505,5189,107960,58,0,0,0,0,0,0,0,0,0,0,0
140000,257,56,8,479,86,47,3.241,7,23,3.821,2994,29,269,9911,125505,1620,440,0,3768,5616,115814,60,0,0,0,0,0,0,0,0,0,0,0
150000,270,43,6,481,104,38,3.127,7,24,3.883,3197,30,268,10606,134480,1734,471,0,4040,6039,124130,63,0,0,0,0,0,0,0,0,0,0,0
