t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,106,35,3,656,143,31,3.368,9,29,3.83,214,9,235,794,15550,185,63,0,58,99,14820,22,0,0,0,0,0,0,0,0,0,0,0
20000,117,34,1,648,134,28,3.685,9,36,4.145,307,10,228,1151,30838,366,106,0,174,344,29794,23,0,0,0,0,0,0,0,0,0,0,0
30000,82,28,1,689,138,23,3.994,10,43,4.494,389,10,238,1495,44208,524,136,0,271,551,42851,23,0,0,0,0,0,0,0,0,0,0,0
40000,112,32,0,656,121,26,4.156,10,41,4.636,467,11,227,1843,57181,678,178,0,379,826,55510,24,0,0,0,0,0,0,0,0,0,0,0
50000,56,29,0,715,126,24,4.32,10,45,4.732,535,11,241,2171,68857,812,205,0,453,1021,66882,24,0,0,0,0,0,0,0,0,0,0,0
60000,69,43,1,687,100,36,4.581,10,47,4.897,603,12,241,2495,80367,941,232,0,548,1273,78078,25,0,0,0,0,0,0,0,0,0,0,0
70000,66,38,1,695,101,30,4.794,10,49,5.122,655,12,226,2773,91536,1082,258,0,622,1469,88997,25,0,0,0,0,0,0,0,0,0,0,0
80000,68,36,0,696,102,30,4.818,10,49,5.154,722,12,230,3112,102337,1211,285,0,709,1719,99489,26,0,0,0,0,0,0,0,0,0,0,0
90000,69,23,0,708,110,20,5.077,10,53,5.26,778,13,237,3409,113214,1355,303,0,787,1926,110099,26,0,0,0,0,0,0,0,0,0,0,0
100000,72,37,0,691,87,31,5.059,10,55,5.404,826,14,234,3730,124630,1499,315,0,867,2180,121194,27,0,0,0,0,0,0,0,0,0,0,0
110000,48,37,0,715,90,32,5.189,10,59,5.58,887,15,229,4056,135102,1619,335,0,944,2405,131359,27,0,0,0,0,0,0,0,0,0,0,0
120000,87,32,4,677,103,27,4.777,11,58,5.335,959,15,229,4415,148084,1796,361,0,1036,2710,144009,28,0,0,0,0,0,0,0,0,0,0,0
130000,104,25,4,667,110,19,4.868,12,52,5.22,1032,16,232,4779,160625,1942,397,0,1127,2993,156226,28,0,0,0,0,0,0,0,0,0,0,0
140000,98,33,1,668,97,27,4.935,11,40,4.855,1105,16,233,5195,174113,2111,416,0,1222,3313,169313,30,0,0,0,0,0,0,0,0,0,0,0
150000,67,47,3,683,84,39,4.854,11,52,5.222,1177,18,239,5598,187050,2276,446,0,1317,3607,181859,30,0,0,0,0,0,0,0,0,0,0,0
