t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,280,88,108,164,3,16,8.316,10,8,2.397,18,2,2,56,350,94,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,248,111,100,181,4,18,7.682,10,10,2.664,58,3,0,109,557,157,0,0,105,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,211,122,96,211,3,20,8.609,10,8,2.084,88,3,1,154,705,205,0,0,154,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,243,118,74,205,1,15,9.063,10,4,1.186,131,4,1,212,899,256,0,0,255,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,149,145,75,271,0,22,8.591,10,6,1.818,143,4,1,277,1062,315,0,0,290,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,134,150,95,261,6,17,7.478,10,9,2.558,188,4,0,324,1284,388,0,0,370,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,137,161,64,278,3,20,7.522,10,10,2.788,212,5,2,391,1419,436,0,0,433,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,204,116,100,220,6,19,7.2,10,7,2.422,274,5,0,431,1630,494,0,0,548,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,202,118,98,222,3,16,8.211,10,8,2.397,323,5,1,487,1851,555,0,0,649,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,170,123,104,243,4,15,8,10,8,2.325,353,5,3,542,2042,613,0,0,714,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
