t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,784,3,0,13,0,2,6,6,1,0,1,1,299,3,13,0,0,3,3,0
10000,744,13,0,43,1,6,4.571,6,4,1.842,6,2,294,18,66,0,1,7,17,0
15000,640,37,1,122,3,22,4.08,8,12,3.273,34,5,296,64,223,2,6,19,61,0
20000,469,82,8,241,5,57,3.452,8,20,3.784,113,7,287,158,545,8,15,44,167,0
25000,315,121,4,360,20,77,3.309,7,25,3.966,248,11,288,326,1031,28,28,74,371,0
30000,236,143,4,417,28,90,3.153,6,25,3.88,369,13,289,480,1472,36,45,107,605,0
35000,186,167,12,435,29,110,2.928,7,25,3.715,480,15,291,608,1866,50,62,136,848,0
40000,194,171,3,432,22,112,3,8,26,3.834,590,15,291,750,2254,58,88,168,1096,0
45000,190,171,2,437,25,121,2.774,6,21,3.247,710,15,283,899,2657,71,100,192,1352,0
50000,219,167,6,408,32,109,2.766,6,20,3.372,851,15,288,1041,3058,82,120,214,1603,0
55000,211,162,7,420,38,113,2.636,6,20,3.057,997,17,279,1200,3498,92,134,245,1853,0
60000,224,156,6,414,29,111,2.764,7,22,3.222,1147,18,280,1372,3971,106,153,272,2123,0
65000,190,178,2,430,21,128,2.738,6,24,3.333,1286,18,286,1537,4412,119,175,296,2373,0
70000,242,153,2,403,27,112,2.741,6,20,3.315,1434,18,283,1695,4833,130,188,317,2640,0
75000,221,162,4,413,35,117,2.592,5,16,3.032,1630,21,277,1904,5400,150,212,331,2945,0
80000,221,157,7,415,28,116,2.722,6,18,3.217,1802,23,287,2100,5899,166,235,347,3212,0
85000,249,157,7,387,37,107,2.625,5,21,3.316,1972,23,288,2272,6376,184,252,372,3491,0
90000,245,157,10,388,34,109,2.664,8,17,3.191,2141,23,283,2451,6869,203,276,393,3760,0
95000,230,166,0,404,35,111,2.637,7,19,3.215,2307,25,282,2637,7347,221,301,408,4022,0
100000,219,156,5,420,45,107,2.605,7,19,3.014,2487,25,281,2830,7859,241,319,431,4300,0
105000,192,171,5,432,33,118,2.722,7,22,3.251,2631,26,280,2999,8324,262,334,455,4536,0
110000,194,165,3,438,37,113,2.727,7,24,3.401,2764,28,281,3153,8752,269,353,484,4782,0
115000,192,160,8,440,44,106,2.787,7,20,3.539,2909,28,279,3310,9195,283,373,498,5033,0
120000,180,165,8,447,36,112,2.851,7,24,3.627,3046,28,284,3467,9641,302,391,520,5289,0
125000,197,177,7,419,24,118,2.859,6,22,3.543,3181,28,288,3626,10097,313,405,543,5575,0
130000,212,158,3,427,37,111,2.73,6,25,3.443,3333,30,285,3796,10527,328,424,560,5840,0
135000,174,162,12,452,40,116,2.756,6,24,3.517,3494,30,281,3960,11024,346,449,600,6117,0
140000,203,172,2,423,23,123,2.74,6,23,3.39,3631,30,281,4120,11465,358,471,625,6395,0
145000,208,169,10,413,27,119,2.712,6,22,3.266,3766,30,290,4271,11885,368,493,649,6646,0
150000,188,167,0,445,39,118,2.675,7,25,3.362,3913,31,281,4420,12302,385,513,668,6868,0
